time,theta1,theta2
3.250452261306533,-2.115188070912977,-1.9592479431349625
3.2820100502512566,-2.074942431886562,-1.8169495167300966
3.31356783919598,-2.0672562204584572,-1.6579376512777255
3.345125628140704,-2.086835818387345,-1.4871361075806326
3.3766834170854274,-2.128236654214886,-1.3079653546002712
3.408241206030151,-2.186657023520375,-1.122799454080493
3.4397989949748746,-2.2581142721312166,-0.9333131966962048
3.4713567839195982,-2.3393678790911667,-0.7407200530305617
3.502914572864322,-2.427768110696533,-0.5459304252664641
3.534472361809046,-2.5211010456003287,-0.34965743456178605
3.5660301507537695,-2.6174512743130007,-0.1524897775171097
3.597587939698493,-2.681294137473555,-0.045055234661338914
3.6291457286432167,-2.6307523311417125,-0.24248954319788565
3.6607035175879403,-2.579735196991903,-0.4393165611092976
3.692261306532664,-2.5278191162215102,-0.6349921312404528
3.7238190954773875,-2.474512058567786,-0.8288783371303782
3.755376884422111,-2.419210993972224,-1.0201827352768746
3.7869346733668348,-2.3611443088605855,-1.2078724402086385
3.8184924623115584,-2.299292153580555,-1.390547296743745
3.850050251256282,-2.232278310648542,-1.566249071903157
3.8816080402010056,-2.1582365723303205,-1.7321768632641796
3.913165829145729,-2.0746928190435594,-1.8842856919764697
3.944723618090453,-1.9786196442633912,-2.0168082789654624
3.9762814070351764,-1.8670831507303822,-2.1219580080509672
4.0078391959799,-1.7392024498502459,-2.190522412856624
4.039396984924624,-1.5995647081342916,-2.214296391558694
4.070954773869348,-1.46045603814627,-2.1899002312178926
4.102512562814071,-1.3384601492347952,-2.1207980232960626
4.134070351758795,-1.2468111577356231,-2.015232139021692
4.165628140703518,-1.190886174555819,-1.8824074129806507
4.197185929648242,-1.1693666160170764,-1.730084820282883
4.228743718592965,-1.177559063534174,-1.564006266995393
4.260301507537689,-1.2099326081255888,-1.388197402387037
4.2918592964824125,-1.261353306416581,-1.2054457733368404
4.3234170854271365,-1.3274760044340788,-1.0177007128257192
4.35497487437186,-1.4047481695339648,-0.82635650907813
4.386532663316584,-1.4902781113852652,-0.6324421937962085
4.418090452261307,-1.581677004810226,-0.43674770333490487
4.449648241206031,-1.6769128304351963,-0.2399093766864231
4.481206030150754,-1.7741841897606725,-0.04247047312465076
4.512763819095478,-1.755579097404047,-0.1550727752380461
4.544321608040201,-1.7048220153505764,-0.3522321740979472
4.575879396984925,-1.6533599487449182,-0.5484897663269424
4.607437185929649,-1.600735763350369,-0.743255602094794
4.638994974874373,-1.5464016645263028,-0.9358145049124037
4.670552763819096,-1.4896690634844278,-1.1252528805195066
4.70211055276382,-1.4296396202286987,-1.310352385646456
4.733668341708543,-1.365110260339506,-1.489430825519828
4.765226130653267,-1.29444908966207,-1.6601029536525924
4.79678391959799,-1.215460664725478,-1.8189317731182941
4.828341708542714,-1.1253320199940173,-1.9609706082311613
4.859899497487437,-1.0209420872191193,-2.079329866423391
4.8914572864321615,-0.9001476608748087,-2.16525514124552
4.923015075376885,-0.7646609663158656,-2.20966128131329
4.954572864321609,-0.6233667408929903,-2.206580704792061
4.986130653266332,-0.491784863543395,-2.156460907565973
5.017688442211056,-0.38553577540036865,-2.0658893621942065
5.049246231155779,-0.3136239631284401,-1.9440668865488893
5.080804020100503,-0.27731636059100706,-1.7995552318366543
5.112361809045227,-0.2730210447104816,-1.6389830360620374
5.14391959798995,-0.2953554380801371,-1.4670778075583109
5.175477386934674,-0.3389241145435965,-1.2871193172367228
5.207035175879398,-0.3990170048623561,-1.1013866271656345
5.238592964824122,-0.4717423901990365,-0.9114916811516047
5.270150753768845,-0.5539351858560213,-0.718606597836844
5.301708542713569,-0.6430029239305066,-0.5236147048527906
5.333266331658292,-0.7367722671774151,-0.3272117248738706
5.364824120603016,-0.8333540218765376,-0.12997580793115707
5.396381909547739,-0.880347151522036,-0.06758106438939383
5.427939698492463,-0.8297711692011196,-0.2649717443266551
5.459497487437186,-0.7786738977103681,-0.4616962716697723
5.4910552763819105,-0.7266257328153075,-0.6572023311543173
5.522613065326634,-0.673124363972303,-0.8508378195713674
5.554170854271358,-0.6175507956825143,-1.0417878221163144
5.585728643216081,-0.559109622265997,-1.2289849493384377
5.617286432160805,-0.496746394166823,-1.4109765312890499
5.648844221105528,-0.4290360833446444,-1.5857246980235495
5.680402010050252,-0.35404794258563077,-1.7503091996131426
5.711959798994975,-0.2692359357886268,-1.9005129925906643
5.743517587939699,-0.17153308281520196,-2.0303451904414374
5.7750753768844225,-0.05810869436422916,-2.1317996473669187
5.806633165829147,0.07148293992586585,-2.1956156305668713
5.83819095477387,0.2118180819292131,-2.213942867000496
5.869748743718594,0.3498198941702968,-2.184152522258113
5.901306532663317,0.4688925516510175,-2.110426228044644
5.932864321608041,0.5565879767826174,-2.0013013974326896
5.964422110552764,0.6084308123838372,-1.8658994409114453
5.995979899497488,0.6262927922812606,-1.7117547404232158
6.027537688442211,0.6150645850125147,-1.5443907744515408
6.059095477386935,0.580273434519446,-1.3676683154458524
6.0906532663316595,0.5269726135072202,-1.1842613926315384
6.122211055276383,0.45941301164519,-0.9960437811548466
6.153768844221107,0.38106406939627957,-0.8043599753528013
6.18532663316583,0.29475221215414094,-0.6102063088119317
6.216884422110554,0.20281857141921203,-0.4143514702949714
6.248442211055277,0.10726285970923607,-0.21741847865261316
6.28,0.009867390274732617,-0.019943094843517417
